Format:
interest|level|recommendation|reason

programming|beginner|Java Basics|Builds strong programming fundamentals.
programming|beginner|Variables and Data Types|Helps understand core coding concepts.
programming|beginner|Control Flow Practice|Improves logical decision-making skills.
programming|beginner|Functions and Methods|Introduces modular code writing habits.
programming|beginner|Array and String Exercises|Strengthens problem-solving confidence.
programming|beginner|Debugging Essentials|Teaches how to find and fix mistakes.
programming|beginner|Intro to Object-Oriented Programming|Prepares you for real-world code structure.
programming|beginner|Version Control with Git|Makes project tracking easier from day one.
programming|beginner|Simple Console Projects|Applies concepts through practical mini builds.
programming|beginner|Coding Style Basics|Encourages readable and maintainable code.
programming|beginner|Algorithm Warm-up Problems|Builds a foundation for technical interviews.
programming|beginner|Unit Testing Basics|Introduces quality-focused development habits.
programming|beginner|Exception Handling Intro|Helps write more robust applications.
programming|beginner|Code Documentation Basics|Improves communication and project clarity.
programming|intermediate|Object-Oriented Design in Java|Deepens understanding of scalable code design.
programming|intermediate|Collections Framework Mastery|Improves data handling and performance choices.
programming|intermediate|Design Patterns Fundamentals|Introduces reusable software architecture solutions.
programming|intermediate|Clean Code Practices|Improves readability and long-term maintainability.
programming|intermediate|Concurrent Programming Basics|Prepares for multi-threaded application needs.
programming|intermediate|File and Stream Processing|Enables efficient data input/output handling.
programming|intermediate|REST Client Integration|Builds ability to consume real APIs.
programming|intermediate|Intermediate Problem Solving|Strengthens algorithmic thinking and optimization.
programming|intermediate|Refactoring Techniques|Helps improve existing code safely.
programming|intermediate|Build Tools (Maven/Gradle)|Standardizes project setup and dependency control.
programming|intermediate|Testing with JUnit|Improves confidence in feature correctness.
programming|intermediate|Logging and Monitoring Basics|Helps troubleshoot applications effectively.
programming|intermediate|Database Connectivity|Adds practical persistence capabilities.
programming|intermediate|API Error Handling Strategies|Improves reliability and user experience.
programming|advanced|System Design for Java Developers|Supports building scalable enterprise services.
programming|advanced|Advanced Concurrency|Helps optimize performance in complex workloads.
